Faculty,Department,Rank,Year,Total,Foreign,Foreign %
ETH OVERALL,,Full Prof,2006,307.8,193.5,62.9
ETH OVERALL,,Full Prof,2007,309.3,200.4,64.8
ETH OVERALL,,Full Prof,2008,312.5,204.4,65.4
ETH OVERALL,,Full Prof,2009,322.3,214.3,66.5
ETH OVERALL,,Full Prof,2010,342.5,229.5,67.0
ETH OVERALL,,Full Prof,2011,349.0,243.5,69.8
ETH OVERALL,,Full Prof,2012,361.4,247.1,68.4
ETH OVERALL,,Full Prof,2013,383.9,259.7,67.6
ETH OVERALL,,Full Prof,2014,382.2,257.3,67.3
ETH OVERALL,,Full Prof,2015,386.9,260.8,67.4
ETH OVERALL,,Full Prof,2016,386.5,258.0,66.8
ETH OVERALL,,Full Prof,2017,403.4,266.9,66.2
ETH OVERALL,,Full Prof,2018,397.4,256.9,64.6
ETH OVERALL,,Full Prof,2019,398.5,255.9,64.2
ETH OVERALL,,Full Prof,2020,407.7,263.4,64.6
ETH OVERALL,,Full Prof,2021,410.4,264.1,64.4
ETH OVERALL,,Full Prof,2022,410.1,264.3,64.4
ETH OVERALL,,Full Prof,2023,411.3,260.3,63.3
ETH OVERALL,,Full Prof,2024,417.3,258.3,61.9
ETH OVERALL,,Full Prof,2025,411.1,253.9,61.8
ETH OVERALL,,Assistant Prof,2006,49.7,25.7,51.7
ETH OVERALL,,Assistant Prof,2007,54.3,28.3,52.1
ETH OVERALL,,Assistant Prof,2008,54.1,32.1,59.3
ETH OVERALL,,Assistant Prof,2009,61.2,38.2,62.4
ETH OVERALL,,Assistant Prof,2010,64.5,43.7,67.8
ETH OVERALL,,Assistant Prof,2011,74.4,57.3,77.0
ETH OVERALL,,Assistant Prof,2012,80.1,61.3,76.5
ETH OVERALL,,Assistant Prof,2013,77.3,62.0,80.2
ETH OVERALL,,Assistant Prof,2014,75.6,58.3,77.1
ETH OVERALL,,Assistant Prof,2015,80.5,65.0,80.7
ETH OVERALL,,Assistant Prof,2016,90.0,71.0,78.9
ETH OVERALL,,Assistant Prof,2017,92.5,71.3,77.1
ETH OVERALL,,Assistant Prof,2018,89.9,71.7,79.8
ETH OVERALL,,Assistant Prof,2019,101.3,78.3,77.3
ETH OVERALL,,Assistant Prof,2020,109.9,86.7,78.9
ETH OVERALL,,Assistant Prof,2021,108.4,90.0,83.0
ETH OVERALL,,Assistant Prof,2022,106.4,87.2,82.0
ETH OVERALL,,Assistant Prof,2023,102.1,85.9,84.1
ETH OVERALL,,Assistant Prof,2024,103.7,84.6,81.6
ETH OVERALL,,Assistant Prof,2025,97.8,79.6,81.4
Architektur und Bauwissenschaften,Architektur,Full Prof,2006,25.8,10.8,41.9
Architektur und Bauwissenschaften,Architektur,Full Prof,2007,24.8,11.8,47.6
Architektur und Bauwissenschaften,Architektur,Full Prof,2008,26.3,12.8,48.7
