Jahr,Hochschule,Professoren,Gesamt,Professorenanteil_%
1980,ETHZ,267,3648,7.3
1980,UZH,314,2395,13.1
1981,ETHZ,266,4029,6.6
1981,UZH,320,2500,12.8
1982,ETHZ,269,3429,7.8
1982,UZH,324,2608,12.4
1983,ETHZ,274,3489,7.9
1983,UZH,326,2643,12.3
1984,ETHZ,273,3830,7.1
1984,UZH,331,3509,9.4
1985,ETHZ,278,4405,6.3
1985,UZH,329,3617,9.1
1986,ETHZ,280,4197,6.7
1986,UZH,329,3681,8.9
1987,ETHZ,279,4858,5.7
1987,UZH,329,3719,8.8
1988,ETHZ,291,4479,6.5
1988,UZH,333,4151,8.0
1989,ETHZ,290,4643,6.2
1989,UZH,345,3929,8.8
1990,ETHZ,296,4894,6.0
1990,UZH,359,4054,8.9
1991,ETHZ,296,5140,5.8
1991,UZH,359,4053,8.9
1992,ETHZ,308,5133,6.0
1992,UZH,365,4710,7.7
1993,ETHZ,325,5025,6.5
1993,UZH,372,3933,9.5
1994,ETHZ,337,5466,6.2
1994,UZH,383,3615,10.6
1995,ETHZ,337,5625,6.0
1995,UZH,387,4963,7.8
1996,ETHZ,337,5796,5.8
1996,UZH,393,5464,7.2
1997,ETHZ,346,5923,5.8
1997,UZH,394,5543,7.1
1998,ETHZ,338,5841,5.8
1998,UZH,371,4613,8.0
1999,ETHZ,351,6154,5.7
1999,UZH,373,5218,7.1
2000,ETHZ,352,6190,5.7
2000,UZH,378,5530,6.8
2001,ETHZ,364,6539,5.6
2001,UZH,354,4538,7.8
2002,ETHZ,362,6745,5.4
2002,UZH,369,4693,7.9
2003,ETHZ,377,6572,5.7
2003,UZH,397,4868,8.2
2004,ETHZ,380,6558,5.8
2004,UZH,411,5258,7.8
2005,ETHZ,372,6186,6.0
2005,UZH,426,5634,7.6
2006,ETHZ,385,6468,6.0
2006,UZH,459,5849,7.8
2007,ETHZ,392,6523,6.0
2007,UZH,478,6263,7.6
2008,ETHZ,381,6999,5.4
2008,UZH,495,6623,7.5
2009,ETHZ,400,7373,5.4
2009,UZH,512,7065,7.2
2010,ETHZ,427,7593,5.6
2010,UZH,522,7308,7.1
2011,ETHZ,442,7769,5.7
2011,UZH,539,7659,7.0
2012,ETHZ,463,7715,6.0
2012,UZH,533,8502,6.3
2013,ETHZ,474,7903,6.0
2013,UZH,570,8931,6.4
2014,ETHZ,480,8260,5.8
2014,UZH,594,8233,7.2
2015,ETHZ,483,8338,5.8
2015,UZH,613,8394,7.3
2016,ETHZ,489,8344,5.9
2016,UZH,647,8615,7.5
2017,ETHZ,508,8568,5.9
2017,UZH,657,8508,7.7
2018,ETHZ,510,9160,5.6
2018,UZH,669,8379,8.0
2019,ETHZ,521,9052,5.8
2019,UZH,699,9211,7.6
2020,ETHZ,546,9458,5.8
2020,UZH,713,9447,7.5
2021,ETHZ,546,10112,5.4
2021,UZH,716,9804,7.3
2022,ETHZ,543,10013,5.4
2022,UZH,721,10023,7.2
2023,ETHZ,535,10174,5.3
2023,UZH,726,9851,7.4
2024,ETHZ,541,10140,5.3
2024,UZH,748,10537,7.1
