Year,Faculty,Rank,Total,Frauen_%,Auslaendische_%
2024,Gesamt Universität,Professuren,742.0,30.3,47.7
2024,Gesamt Universität,Titularprofessuren,773.0,20.6,20.1
2024,Gesamt Universität,Privatdozierende,1194.0,29.7,42.8
2024,Theologische Fakultät,Titularprofessuren,9.0,11.1,22.2
2024,Theologische Fakultät,Privatdozierende,25.0,20.0,56.0
2024,Rechtswissenschaftliche Fakultät,Titularprofessuren,46.0,17.4,6.5
2024,Rechtswissenschaftliche Fakultät,Privatdozierende,36.0,41.7,19.4
2024,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,15.0,13.3,6.7
2024,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,38.0,23.7,47.4
2024,Medizinische Fakultät,Titularprofessuren,516.0,18.2,22.7
2024,Medizinische Fakultät,Privatdozierende,780.0,26.4,41.5
2024,Theologische Fakultät,Professuren,18.0,,50.0
2024,Rechtswissenschaftliche Fakultät,Professuren,52.0,,28.8
2024,Wirtschaftswissenschaftliche Fakultät,Professuren,95.0,,60.0
2024,Medizinische Fakultät,Professuren,209.0,,40.2
2024,Vetsuisse Fakultät,Professuren,38.0,,36.8
2024,Philosophische Fakultät,Professuren,184.0,,50.5
2024,Mathematisch-naturwissenschaftliche Fakultät,Professuren,132.0,,56.1
2023,Gesamt Universität,Professuren,738.0,29.3,48.5
2023,Gesamt Universität,Titularprofessuren,767.0,20.1,21.4
2023,Gesamt Universität,Privatdozierende,1133.0,30.1,42.7
2023,Theologische Fakultät,Titularprofessuren,9.0,11.1,22.2
2023,Theologische Fakultät,Privatdozierende,21.0,23.8,52.4
2023,Rechtswissenschaftliche Fakultät,Titularprofessuren,42.0,16.7,4.8
2023,Rechtswissenschaftliche Fakultät,Privatdozierende,37.0,40.5,18.9
2023,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,19.0,10.5,15.8
2023,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,32.0,28.1,46.9
2023,Medizinische Fakultät,Titularprofessuren,513.0,17.7,24.8
2023,Medizinische Fakultät,Privatdozierende,746.0,26.9,41.8
2023,Theologische Fakultät,Professuren,17.0,,47.1
2023,Rechtswissenschaftliche Fakultät,Professuren,56.0,,26.8
2023,Wirtschaftswissenschaftliche Fakultät,Professuren,92.0,,62.0
2023,Medizinische Fakultät,Professuren,206.0,,42.2
2023,Vetsuisse Fakultät,Professuren,38.0,,36.8
2023,Philosophische Fakultät,Professuren,186.0,,51.6
2023,Mathematisch-naturwissenschaftliche Fakultät,Professuren,128.0,,56.3
2022,Gesamt Universität,Professuren,734.0,28.7,48.8
2022,Gesamt Universität,Titularprofessuren,734.0,20.3,21.0
2022,Gesamt Universität,Privatdozierende,1043.0,29.2,42.0
2022,Theologische Fakultät,Titularprofessuren,10.0,10.0,30.0
2022,Theologische Fakultät,Privatdozierende,19.0,26.3,47.4
2022,Rechtswissenschaftliche Fakultät,Titularprofessuren,46.0,19.6,4.3
2022,Rechtswissenschaftliche Fakultät,Privatdozierende,29.0,41.4,17.2
2022,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,19.0,10.5,15.8
2022,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,32.0,28.1,46.9
2022,Medizinische Fakultät,Titularprofessuren,474.0,17.7,23.6
2022,Medizinische Fakultät,Privatdozierende,695.0,25.8,40.7
2022,Theologische Fakultät,Professuren,15.0,,53.3
2022,Rechtswissenschaftliche Fakultät,Professuren,55.0,,21.8
2022,Wirtschaftswissenschaftliche Fakultät,Professuren,92.0,,62.0
2022,Medizinische Fakultät,Professuren,206.0,,42.2
