Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gesamtsumme,,,2770.6,2882,3153.8,3440.6,3605.1,3889.2,4049,4302.3,4446.9,5056.6,5088.4,5226.1,5437.6,5589.2,5880.6,6162.7,6155.9,6236.7,6151.8,6145.2
Architektur und Bauwissenschaften,Gesamtwert,,317.6,333,345.8,355.5,377.9,418.4,465.7,483.4,483.6,535.2,547.5,559.6,580,616.6,634.4,658.3,613.6,631.5,590.8,602
Architektur und Bauwissenschaften,Architektur,Gesamtwert,121.4,146.7,150.7,153.4,152.5,177.3,193.4,203.9,204.9,221.6,229.4,240.3,224.6,241.7,261.1,275.2,262.4,258.8,248.7,252.6
Architektur und Bauwissenschaften,Architektur,Vollprofessor/innen,10.8,11.8,12.8,12.8,13.3,13.8,13.3,13.3,14.5,14.5,13.5,17,16,17.2,17.5,17.5,16.2,16.8,17.6,17.6
Architektur und Bauwissenschaften,Architektur,Assistenzprofessor/innen,,,,1,3,4,6,6,3,3,4,3,2,2,1,,,,,
Architektur und Bauwissenschaften,Architektur,Wissenschaftliche Mitarbeiten..,104.8,125.3,130.1,130,126.3,151.7,166.5,176.4,179.4,194.5,202.3,211.9,196.9,214.1,235,250,233.7,230.1,219.1,220.7
Architektur und Bauwissenschaften,Architektur,Techn. & adm. Mitarbeitende,5.9,9.6,7.8,9.6,9,7.8,7.6,8.2,8,9.6,8.6,8.4,9.8,8.5,7.7,7.7,12.6,12,12,14.3
Architektur und Bauwissenschaften,Architektur,Lernende,,,,,1,0,,,,,1,0,0,,,,,,,
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Gesamtwert,196.2,186.4,195.1,202.1,225.4,241.2,272.3,279.5,278.7,313.6,318.1,319.3,355.4,374.8,373.3,383.1,351.2,372.7,342.1,349.3
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Vollprofessor/innen,15,15,14,14,14,17,20,18,16,16,18,18,17.6,16.6,16.6,16.5,16,17.6,18.6,18.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistenzprofessor/innen,1.7,1,1,1,4,4,3,4,3.3,4,3,3,5,5,6,6,4,3,3,2
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Wissenschaftliche Mitarbeiten..,165.3,158.1,164.4,170.6,188.6,203.6,231.7,240.5,242.8,277,280.8,283.5,316.3,336.6,333.6,344.5,317.3,334.1,304.4,314.2
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Techn. & adm. Mitarbeitende,14.2,12.2,15.7,16.5,18.8,16.5,17.7,16.9,16.6,16.6,16.3,14.8,16.5,16.6,17.1,16,13.9,18,16.1,14.5
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Lernende,0,,0,,,,,,,,,,,,,,,,,
Ingenieurwissenschaften,Gesamtwert,,742.3,774.5,832.1,922.8,988.1,1080,1173.2,1258.1,1307,1454.4,1487.4,1554.5,1596.5,1644.8,1834.6,1942.5,1980,1987.4,1967.4,1931.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Gesamtwert,205.9,208,214.1,251.8,289.7,308.6,346.7,363.4,383.9,446,468.3,464.1,450.5,442.7,525.1,563.5,557.2,536.5,513.7,493.3
Ingenieurwissenschaften,Masch.u.Verf.tech.,Vollprofessor/innen,14,16,16,16,15,16,17,18,17,18,16.6,17.8,16.4,15.4,20.9,23,24,24,23,21.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistenzprofessor/innen,,,,2,3,3,3,4,4.3,5,5,6,4.2,6,8,8,6.8,5.1,4.8,4.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Wissenschaftliche Mitarbeiten..,181.1,180.6,187.6,225.3,259.8,272.8,310.7,325,343.1,399.6,422.1,419.6,408.7,396.5,468.2,506.5,504,478.2,453.9,435.3
Ingenieurwissenschaften,Masch.u.Verf.tech.,Techn. & adm. Mitarbeitende,8.8,10.5,9.6,8.5,11.9,16.8,16,16.4,18.6,21.4,22.6,20.7,21.2,24.8,28,26.1,22.5,29.2,32,31.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Lernende,2,1,1,0,,,,,1,2,2,0,,,,,,,,
Ingenieurwissenschaften,Inf.techno.u.Elek.,Gesamtwert,224.8,220.2,246.5,280,275.1,300.3,317.7,321.5,333.5,353.1,368,401.6,409.8,429.4,477.8,501.8,511.2,513.6,488.3,496.5
Ingenieurwissenschaften,Inf.techno.u.Elek.,Vollprofessor/innen,16.5,15.5,16.5,16.5,14.7,14.7,14.7,15.2,17.5,20.7,19.7,18.6,17.4,18.4,17.6,17.1,16.6,15.6,14.9,14.9
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistenzprofessor/innen,3,2.3,1.3,2,3,3,3,3,2.5,4,6,6,7,5,6.2,6,6,6,5,6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Wissenschaftliche Mitarbeiten..,193.9,187.6,215.4,248.3,241.4,262.6,281.4,287.9,294.4,312,324.1,357.4,365.3,388.7,436.6,456.8,467.1,468.1,448.4,452.2
Ingenieurwissenschaften,Inf.techno.u.Elek.,Techn. & adm. Mitarbeitende,11.4,14.8,13.4,13.3,16,20.1,18.7,16,17.6,17.4,18.2,19.6,19.1,16.3,17.4,21.9,21.5,23.9,20.1,23.4
Ingenieurwissenschaften,Inf.techno.u.Elek.,Lernende,,,,,,,,,,,,,1,1,0,,,,,
Ingenieurwissenschaften,Informatik,Gesamtwert,174.6,189.5,209.1,210.2,214.9,229,228.2,249.4,250.9,252.1,253.9,276.8,314.9,342.3,410.4,447.1,490.8,533.8,537.4,519.5
Ingenieurwissenschaften,Informatik,Vollprofessor/innen,14,15.8,15.8,16,15.9,17.9,18,17,16.1,18.1,17.2,18.1,16.7,17.5,18,18,18.7,17.5,14.5,16.6
Ingenieurwissenschaften,Informatik,Assistenzprofessor/innen,5,5,3,2,2,3,5,5,5,3,6,6,5,9,15,15,14,14,16,14
Ingenieurwissenschaften,Informatik,Wissenschaftliche Mitarbeiten..,146.8,157.1,177.7,177.7,181.5,192.7,193.9,211.7,210.9,211.7,209.5,225.5,263.7,285.9,349.5,392.4,433.1,466.4,472.9,450.8
Ingenieurwissenschaften,Informatik,Techn. & adm. Mitarbeitende,8.8,11.6,12.7,14.5,15.5,15.4,11.3,15.7,18.9,19.3,21.2,27.2,29.5,29.9,27.9,21.7,25,35.9,34,38.1
Ingenieurwissenschaften,Materialwiss.,Gesamtwert,97.4,108.6,103.5,106.2,104.8,112.1,122.2,140.5,145.6,163.7,152.1,154.2,156.6,166.3,146.9,153,152.2,139.7,137.8,141.2
Ingenieurwissenschaften,Materialwiss.,Vollprofessor/innen,6,7,7,6,8,9,8,10,12,11,11,10,9,10,9,9,10,9,9,9
Ingenieurwissenschaften,Materialwiss.,Assistenzprofessor/innen,2,1,1,2,1,2,3,4,3,3,2,1.3,1.3,1.3,1,1,2,3,3,2
Ingenieurwissenschaften,Materialwiss.,Wissenschaftliche Mitarbeiten..,85.6,96.2,89.3,90.9,89.8,95.1,106.2,121.1,123.9,142.1,132.9,137.7,142,150.6,132.7,137.6,135.1,122.6,118.7,123.6
Ingenieurwissenschaften,Materialwiss.,Techn. & adm. Mitarbeitende,3.8,4.4,6.2,7.3,6,6,5,5.4,6.7,7.6,6.2,5.3,4.3,4.5,4.2,5.5,5.2,5.2,7.1,6.6
Ingenieurwissenschaften,Biosysteme,Gesamtwert,39.5,48.3,58.9,74.6,103.6,130,158.4,183.3,193.1,239.4,245.1,257.7,264.7,264,274.5,277.1,268.6,263.9,290.2,281
Ingenieurwissenschaften,Biosysteme,Vollprofessor/innen,2,3,3,3,5,6,6,8,11,12,12,13,14,15,15,14,14,9.2,9.8,8.8
Ingenieurwissenschaften,Biosysteme,Assistenzprofessor/innen,2,2,3,3,4,6,7,6,5,4,4,3,1,1,1,0,,,,1
Ingenieurwissenschaften,Biosysteme,Wissenschaftliche Mitarbeiten..,31.6,39.3,47.1,58.8,84.8,104.1,130.9,154.5,158.6,202.4,209.6,217.3,218.1,215.3,225.1,232.1,222.2,220.7,240.6,230.3
