Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gesamtsumme,,,6435.5,6522,6732.6,7102.6,7275.1,7490.9,7655.1,7908.3,8136.3,9021.8,9097.7,9326,9652.6,9851.7,10246,10612.8,10811.2,10751.5,10638.6,10637.4
Architektur und Bauwissenschaften,Gesamtwert,,762.9,779.8,775,798.8,818.7,871.7,911.7,935.8,927.9,1004.7,1005.9,990.9,1002.4,1018.4,1057.5,1088,1053.4,1057,1030.1,1040.4
Architektur und Bauwissenschaften,Architektur,Gesamtwert,313.4,336.1,336.3,340.3,334.9,383.5,391.3,390,393.6,431.2,434.4,428.4,404.6,419.2,439.6,463.2,451.8,431.9,429.1,444
Architektur und Bauwissenschaften,Architektur,Vollprofessor/innen,25.8,24.8,26.3,26.3,27,29.5,30,30,30.1,28.4,27.4,30.9,31.9,31.7,33,33.5,32.1,30.8,33,32
Architektur und Bauwissenschaften,Architektur,Assistenzprofessor/innen,3.2,3.2,2.2,4.2,5,5,7,7,4,4,4,3,2,2,1,,,,,
Architektur und Bauwissenschaften,Architektur,Wissenschaftliche Mitarbeiten..,231.8,253.8,250.7,248.8,245.1,287.6,297.9,298.1,305.1,341.2,343.1,340,315.9,333.5,354.2,379.4,364.7,343.4,335.6,344.9
Architektur und Bauwissenschaften,Architektur,Techn. & adm. Mitarbeitende,52.6,54.4,57.2,61,55.8,59.5,55.5,54,52.5,55.7,58,53.6,51.9,50,51.4,50.4,55.1,57.7,60.5,67.2
Architektur und Bauwissenschaften,Architektur,Lernende,,,,,2,2,1,1,2,2,2,1,3,2,0,,,,,
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Gesamtwert,449.6,443.7,438.7,458.5,483.9,488.2,520.4,545.8,534.3,573.5,571.5,562.5,597.8,599.2,617.9,624.8,601.6,625.1,601,596.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Vollprofessor/innen,25,25,22.6,24,25.8,26.8,30.8,29.8,27.8,27.8,28.8,29.8,28.4,27.4,27.4,26.4,25.6,28.2,30.4,30.4
