Report_Jahr,Semester,Kategorie,Total,Frauen_%,Auslaendische_%
2024,HS 2024,Total,6262.0,39.0,40.3
2024,HS 2024,Professuren,742.0,30.3,47.7
2024,HS 2024,Titularprofessuren,773.0,20.6,20.1
2024,HS 2024,Privatdozierende,1194.0,29.7,42.8
2024,HS 2024,Lehrpersonen,3553.0,47.9,42.4
2024,HS 2024,Theologische und Religionswiss. Fakultät,93.0,33.3,47.3
2024,HS 2024,Professuren,18.0,27.8,50.0
2024,HS 2024,Titularprofessuren,9.0,11.1,22.2
2024,HS 2024,Privatdozierende,25.0,20.0,56.0
2024,HS 2024,Lehrpersonen,41.0,48.8,46.3
2024,HS 2024,Rechtswissenschaftliche Fakultät,297.0,36.7,15.2
2024,HS 2024,Professuren,52.0,28.8,28.8
2024,HS 2024,Titularprofessuren,46.0,17.4,6.5
2024,HS 2024,Privatdozierende,36.0,41.7,19.4
2024,HS 2024,Lehrpersonen,163.0,43.6,12.3
2024,HS 2024,Wirtschaftswissenschaftliche Fakultät,342.0,23.1,56.4
2024,HS 2024,Professuren,95.0,16.8,60.0
2024,HS 2024,Titularprofessuren,15.0,13.3,6.7
2024,HS 2024,Privatdozierende,38.0,23.7,47.4
2024,HS 2024,Lehrpersonen,194.0,26.8,60.3
2024,HS 2024,Medizinische Fakultät,3390.0,36.1,37.6
2024,HS 2024,Professuren,209.0,23.9,40.2
2024,HS 2024,Titularprofessuren,516.0,18.2,22.7
2024,HS 2024,Privatdozierende,780.0,26.4,41.5
2024,HS 2024,Lehrpersonen,1885.0,46.3,39.7
2024,HS 2024,Theologische Fakultät,18.0,,50.0
2024,HS 2024,Rechtswissenschaftliche Fakultät,52.0,,28.8
2024,HS 2024,Wirtschaftswissenschaftliche Fakultät,95.0,,60.0
2024,HS 2024,Medizinische Fakultät,209.0,,40.2
2024,HS 2024,Vetsuisse-Fakultät,38.0,,36.8
2024,HS 2024,Philosophische Fakultät,184.0,,50.5
2024,HS 2024,Mathematisch-naturwissenschaftliche Fakultät,132.0,,56.1
2024,HS 2023,Total,5791.0,37.9,39.6
2024,HS 2023,Professuren,738.0,29.3,48.5
2024,HS 2023,Titularprofessuren,767.0,20.1,21.4
2024,HS 2023,Privatdozierende,1133.0,30.1,42.7
2024,HS 2023,Lehrpersonen,3153.0,47.0,40.8
2024,HS 2023,Theologische und Religionswiss. Fakultät,84.0,31.0,47.6
2024,HS 2023,Professuren,17.0,23.5,47.1
2024,HS 2023,Titularprofessuren,9.0,11.1,22.2
2024,HS 2023,Privatdozierende,21.0,23.8,52.4
2024,HS 2023,Lehrpersonen,37.0,43.2,51.4
2024,HS 2023,Rechtswissenschaftliche Fakultät,303.0,37.0,17.8
2024,HS 2023,Professuren,56.0,30.4,26.8
2024,HS 2023,Titularprofessuren,42.0,16.7,4.8
2024,HS 2023,Privatdozierende,37.0,40.5,18.9
2024,HS 2023,Lehrpersonen,168.0,43.5,17.9
2024,HS 2023,Wirtschaftswissenschaftliche Fakultät,321.0,22.1,55.1
2024,HS 2023,Professuren,92.0,14.1,62.0
2024,HS 2023,Titularprofessuren,19.0,10.5,15.8
2024,HS 2023,Privatdozierende,32.0,28.1,46.9
2024,HS 2023,Lehrpersonen,178.0,26.4,57.3
2024,HS 2023,Medizinische Fakultät,2991.0,34.4,36.7
2024,HS 2023,Professuren,206.0,23.3,42.2
2024,HS 2023,Titularprofessuren,513.0,17.7,24.8
2024,HS 2023,Privatdozierende,746.0,26.9,41.8
2024,HS 2023,Lehrpersonen,1526.0,45.1,37.5
2023,HS 2023,Total,5791.0,37.9,39.6
2023,HS 2023,Professuren,738.0,29.3,48.5
2023,HS 2023,Titularprofessuren,767.0,20.1,21.4
2023,HS 2023,Privatdozierende,1133.0,30.1,42.7
2023,HS 2023,Lehrpersonen,3153.0,47.0,40.8
2023,HS 2023,Theologische Fakultät,84.0,31.0,47.6
