Year,Field,Nationality,University,Foreign_Count,Total,Foreign_Share_%
2012,1.1 Theologie,Ausland,UZH,55,159,34.6
2012,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,180,444,40.5
2012,1.3 Historische und Kulturwissenschaften,Ausland,UZH,125,396,31.6
2012,1.4 Sozialwissenschaften,Ausland,UZH,242,687,35.2
2012,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,251,677,37.1
2012,2 Wirtschaftswissenschaften,Ausland,UZH,376,756,49.7
2012,3 Recht,Ausland,UZH,101,621,16.3
2012,4.1 Exakte Wissenschaften,Ausland,UZH,254,399,63.7
2012,4.2 Naturwissenschaften,Ausland,UZH,739,1411,52.4
2012,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,36,82,43.9
2012,5.1 Humanmedizin,Ausland,UZH,1404,3605,38.9
2012,5.2 Zahnmedizin,Ausland,UZH,130,440,29.5
2012,5.3 Veterinärmedizin,Ausland,UZH,242,720,33.6
2012,5.4 Pharmazie,Ausland,UZH,0,0,
2012,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1,12,8.3
2012,6.1 Bauwesen und Geodäsie,Ausland,UZH,0,0,
2012,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0,0,
2012,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0,0,
2012,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0,0,
2012,7 Interdisziplinäre und Andere,Ausland,UZH,3,16,18.8
2012,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,0,0,
2012,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0,0,
2012,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0,0,
2012,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0,0,
2012,99.99 Fach nicht zuteilbar,Ausland,UZH,8,15,53.3
2012,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0,0,
2012,8.1 Zentrale Verwaltung,Ausland,UZH,66,416,15.9
2012,8.2 Zentrale Bibliotheken,Ausland,UZH,3,44,6.8
2012,8.3 Technische Dienste und Logistik,Ausland,UZH,111,295,37.6
2012,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,13,78,16.7
2013,1.1 Theologie,Ausland,UZH,62,165,37.6
2013,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,256,645,39.7
2013,1.3 Historische und Kulturwissenschaften,Ausland,UZH,163,499,32.7
2013,1.4 Sozialwissenschaften,Ausland,UZH,281,821,34.2
2013,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,122,394,31.0
2013,2 Wirtschaftswissenschaften,Ausland,UZH,423,832,50.8
2013,3 Recht,Ausland,UZH,117,651,18.0
