Year,Field,Nationality,University,Foreign_Count,Total,Foreign_Share_%
1980,1.1 Theologie,Ausland,UZH,16,58,27.6
1980,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,60,279,21.5
1980,1.3 Historische und Kulturwissenschaften,Ausland,UZH,35,204,17.2
1980,1.4 Sozialwissenschaften,Ausland,UZH,29,180,16.1
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,26,92,28.3
1980,2 Wirtschaftswissenschaften,Ausland,UZH,38,218,17.4
1980,3 Recht,Ausland,UZH,11,152,7.2
1980,4.1 Exakte Wissenschaften,Ausland,UZH,33,146,22.6
1980,4.2 Naturwissenschaften,Ausland,UZH,96,598,16.1
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1980,5.1 Humanmedizin,Ausland,UZH,154,843,18.3
1980,5.2 Zahnmedizin,Ausland,UZH,47,283,16.6
1980,5.3 Veterinärmedizin,Ausland,UZH,38,326,11.7
1980,5.4 Pharmazie,Ausland,UZH,0,0,
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,0,0,
1980,6.1 Bauwesen und Geodäsie,Ausland,UZH,0,0,
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0,0,
1980,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0,0,
1980,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1980,7 Interdisziplinäre und Andere,Ausland,UZH,0,0,
1980,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,9,180,5.0
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0,0,
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0,0,
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0,0,
1980,99.99 Fach nicht zuteilbar,Ausland,UZH,0,0,
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0,0,
1980,8.1 Zentrale Verwaltung,Ausland,UZH,0,0,
1980,8.2 Zentrale Bibliotheken,Ausland,UZH,0,0,
1980,8.3 Technische Dienste und Logistik,Ausland,UZH,0,0,
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0,0,
1981,1.1 Theologie,Ausland,UZH,17,65,26.2
1981,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,64,276,23.2
1981,1.3 Historische und Kulturwissenschaften,Ausland,UZH,28,219,12.8
1981,1.4 Sozialwissenschaften,Ausland,UZH,26,192,13.5
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,29,117,24.8
1981,2 Wirtschaftswissenschaften,Ausland,UZH,40,236,16.9
1981,3 Recht,Ausland,UZH,12,173,6.9
1981,4.1 Exakte Wissenschaften,Ausland,UZH,29,143,20.3
1981,4.2 Naturwissenschaften,Ausland,UZH,101,612,16.5
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1981,5.1 Humanmedizin,Ausland,UZH,158,869,18.2
1981,5.2 Zahnmedizin,Ausland,UZH,46,287,16.0
1981,5.3 Veterinärmedizin,Ausland,UZH,33,332,9.9
1981,5.4 Pharmazie,Ausland,UZH,0,0,
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,0,0,
1981,6.1 Bauwesen und Geodäsie,Ausland,UZH,0,0,
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0,0,
1981,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0,0,
1981,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1981,7 Interdisziplinäre und Andere,Ausland,UZH,0,0,
1981,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,11,190,5.8
