Jahr,Fachbereich,Staatsangehörigkeit (Kategorie),Hochschule,Anzahl
1980,1.1 Theologie,Schweiz,UZH,42
1980,1.1 Theologie,Ausland,UZH,16
1980,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,219
1980,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,60
1980,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,169
1980,1.3 Historische und Kulturwissenschaften,Ausland,UZH,35
1980,1.4 Sozialwissenschaften,Schweiz,UZH,151
1980,1.4 Sozialwissenschaften,Ausland,UZH,29
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,66
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,26
1980,2 Wirtschaftswissenschaften,Schweiz,UZH,180
1980,2 Wirtschaftswissenschaften,Ausland,UZH,38
1980,3 Recht,Schweiz,UZH,141
1980,3 Recht,Ausland,UZH,11
1980,4.1 Exakte Wissenschaften,Schweiz,UZH,113
1980,4.1 Exakte Wissenschaften,Ausland,UZH,33
1980,4.2 Naturwissenschaften,Schweiz,UZH,502
1980,4.2 Naturwissenschaften,Ausland,UZH,96
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,0
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0
1980,5.1 Humanmedizin,Schweiz,UZH,689
1980,5.1 Humanmedizin,Ausland,UZH,154
1980,5.2 Zahnmedizin,Schweiz,UZH,236
1980,5.2 Zahnmedizin,Ausland,UZH,47
1980,5.3 Veterinärmedizin,Schweiz,UZH,288
1980,5.3 Veterinärmedizin,Ausland,UZH,38
1980,5.4 Pharmazie,Schweiz,UZH,0
1980,5.4 Pharmazie,Ausland,UZH,0
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,0
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,0
1980,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1980,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1980,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1980,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1980,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1980,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1980,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1980,7 Interdisziplinäre und Andere,Ausland,UZH,0
1980,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,171
1980,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,9
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1980,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1980,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1980,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1980,8.1 Zentrale Verwaltung,Ausland,UZH,0
1980,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1980,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1980,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1980,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1981,1.1 Theologie,Schweiz,UZH,48
1981,1.1 Theologie,Ausland,UZH,17
1981,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,212
1981,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,64
1981,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,191
1981,1.3 Historische und Kulturwissenschaften,Ausland,UZH,28
1981,1.4 Sozialwissenschaften,Schweiz,UZH,166
1981,1.4 Sozialwissenschaften,Ausland,UZH,26
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,88
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,29
1981,2 Wirtschaftswissenschaften,Schweiz,UZH,196
1981,2 Wirtschaftswissenschaften,Ausland,UZH,40
1981,3 Recht,Schweiz,UZH,161
1981,3 Recht,Ausland,UZH,12
1981,4.1 Exakte Wissenschaften,Schweiz,UZH,114
1981,4.1 Exakte Wissenschaften,Ausland,UZH,29
1981,4.2 Naturwissenschaften,Schweiz,UZH,511
1981,4.2 Naturwissenschaften,Ausland,UZH,101
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,0
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0
1981,5.1 Humanmedizin,Schweiz,UZH,711
1981,5.1 Humanmedizin,Ausland,UZH,158
1981,5.2 Zahnmedizin,Schweiz,UZH,241
1981,5.2 Zahnmedizin,Ausland,UZH,46
1981,5.3 Veterinärmedizin,Schweiz,UZH,299
1981,5.3 Veterinärmedizin,Ausland,UZH,33
1981,5.4 Pharmazie,Schweiz,UZH,0
1981,5.4 Pharmazie,Ausland,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,0
1981,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1981,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1981,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1981,7 Interdisziplinäre und Andere,Ausland,UZH,0
1981,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,179
1981,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,11
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1981,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1981,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1981,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1981,8.1 Zentrale Verwaltung,Ausland,UZH,0
1981,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1981,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1981,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1981,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1982,1.1 Theologie,Schweiz,UZH,46
1982,1.1 Theologie,Ausland,UZH,18
1982,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,229
1982,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,65
1982,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,180
1982,1.3 Historische und Kulturwissenschaften,Ausland,UZH,30
1982,1.4 Sozialwissenschaften,Schweiz,UZH,243
1982,1.4 Sozialwissenschaften,Ausland,UZH,55
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,4
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,8
1982,2 Wirtschaftswissenschaften,Schweiz,UZH,204
1982,2 Wirtschaftswissenschaften,Ausland,UZH,41
1982,3 Recht,Schweiz,UZH,165
1982,3 Recht,Ausland,UZH,12
1982,4.1 Exakte Wissenschaften,Schweiz,UZH,114
1982,4.1 Exakte Wissenschaften,Ausland,UZH,33
1982,4.2 Naturwissenschaften,Schweiz,UZH,540
1982,4.2 Naturwissenschaften,Ausland,UZH,103
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,1
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0
1982,5.1 Humanmedizin,Schweiz,UZH,762
1982,5.1 Humanmedizin,Ausland,UZH,168
1982,5.2 Zahnmedizin,Schweiz,UZH,256
1982,5.2 Zahnmedizin,Ausland,UZH,45
1982,5.3 Veterinärmedizin,Schweiz,UZH,313
1982,5.3 Veterinärmedizin,Ausland,UZH,38
1982,5.4 Pharmazie,Schweiz,UZH,5
1982,5.4 Pharmazie,Ausland,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,4
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1
1982,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1982,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1982,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1982,7 Interdisziplinäre und Andere,Ausland,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,189
1982,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,13
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1982,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1982,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1982,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1982,8.1 Zentrale Verwaltung,Ausland,UZH,0
1982,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1982,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1982,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1982,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1983,1.1 Theologie,Schweiz,UZH,40
1983,1.1 Theologie,Ausland,UZH,22
1983,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,235
1983,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,62
1983,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,180
1983,1.3 Historische und Kulturwissenschaften,Ausland,UZH,33
1983,1.4 Sozialwissenschaften,Schweiz,UZH,229
1983,1.4 Sozialwissenschaften,Ausland,UZH,49
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,6
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,9
1983,2 Wirtschaftswissenschaften,Schweiz,UZH,206
1983,2 Wirtschaftswissenschaften,Ausland,UZH,46
1983,3 Recht,Schweiz,UZH,172
1983,3 Recht,Ausland,UZH,13
1983,4.1 Exakte Wissenschaften,Schweiz,UZH,112
1983,4.1 Exakte Wissenschaften,Ausland,UZH,38
1983,4.2 Naturwissenschaften,Schweiz,UZH,551
1983,4.2 Naturwissenschaften,Ausland,UZH,94
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,1
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0
1983,5.1 Humanmedizin,Schweiz,UZH,789
1983,5.1 Humanmedizin,Ausland,UZH,171
1983,5.2 Zahnmedizin,Schweiz,UZH,252
1983,5.2 Zahnmedizin,Ausland,UZH,50
1983,5.3 Veterinärmedizin,Schweiz,UZH,321
1983,5.3 Veterinärmedizin,Ausland,UZH,39
1983,5.4 Pharmazie,Schweiz,UZH,6
1983,5.4 Pharmazie,Ausland,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,4
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1
1983,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1983,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1983,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1983,7 Interdisziplinäre und Andere,Ausland,UZH,0
1983,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,211
1983,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,17
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1983,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1983,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1983,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1983,8.1 Zentrale Verwaltung,Ausland,UZH,0
1983,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1983,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1983,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1983,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1984,1.1 Theologie,Schweiz,UZH,53
1984,1.1 Theologie,Ausland,UZH,27
1984,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,244
1984,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,62
1984,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,195
1984,1.3 Historische und Kulturwissenschaften,Ausland,UZH,32
1984,1.4 Sozialwissenschaften,Schweiz,UZH,252
1984,1.4 Sozialwissenschaften,Ausland,UZH,42
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,361
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,49
1984,2 Wirtschaftswissenschaften,Schweiz,UZH,218
1984,2 Wirtschaftswissenschaften,Ausland,UZH,44
1984,3 Recht,Schweiz,UZH,189
1984,3 Recht,Ausland,UZH,17
