Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
1980,1.1 Theologie,Professor/-innen,UZH,12
1980,1.1 Theologie,Übrige Dozierende,UZH,20
1980,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,16
1980,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,38
1980,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,152
1980,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,57
1980,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,29
1980,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,80
1980,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,58
1980,1.4 Sozialwissenschaften,Professor/-innen,UZH,5
1980,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,83
1980,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,57
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,12
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,80
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,2 Wirtschaftswissenschaften,Professor/-innen,UZH,20
1980,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,65
1980,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,74
1980,3 Recht,Professor/-innen,UZH,24
1980,3 Recht,Übrige Dozierende,UZH,56
1980,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,58
1980,4.1 Exakte Wissenschaften,Professor/-innen,UZH,25
1980,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,45
1980,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,52
1980,4.2 Naturwissenschaften,Professor/-innen,UZH,45
1980,4.2 Naturwissenschaften,Übrige Dozierende,UZH,184
1980,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,174
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
