Year,Field,Rank,University,Count
1980,1.1 Theologie,Professors,UZH,12
1980,1.1 Theologie,Other Lecturers,UZH,20
1980,1.1 Theologie,Assistants & Research Staff,UZH,16
1980,1.2 Sprach- und Literaturwissenschaften,Professors,UZH,38
1980,1.2 Sprach- und Literaturwissenschaften,Other Lecturers,UZH,152
1980,1.2 Sprach- und Literaturwissenschaften,Assistants & Research Staff,UZH,57
1980,1.3 Historische und Kulturwissenschaften,Professors,UZH,29
1980,1.3 Historische und Kulturwissenschaften,Other Lecturers,UZH,80
1980,1.3 Historische und Kulturwissenschaften,Assistants & Research Staff,UZH,58
1980,1.4 Sozialwissenschaften,Professors,UZH,5
1980,1.4 Sozialwissenschaften,Other Lecturers,UZH,83
1980,1.4 Sozialwissenschaften,Assistants & Research Staff,UZH,57
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professors,UZH,12
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Other Lecturers,UZH,80
1980,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1980,2 Wirtschaftswissenschaften,Professors,UZH,20
1980,2 Wirtschaftswissenschaften,Other Lecturers,UZH,65
1980,2 Wirtschaftswissenschaften,Assistants & Research Staff,UZH,74
1980,3 Recht,Professors,UZH,24
1980,3 Recht,Other Lecturers,UZH,56
1980,3 Recht,Assistants & Research Staff,UZH,58
1980,4.1 Exakte Wissenschaften,Professors,UZH,25
1980,4.1 Exakte Wissenschaften,Other Lecturers,UZH,45
1980,4.1 Exakte Wissenschaften,Assistants & Research Staff,UZH,52
1980,4.2 Naturwissenschaften,Professors,UZH,45
1980,4.2 Naturwissenschaften,Other Lecturers,UZH,184
1980,4.2 Naturwissenschaften,Assistants & Research Staff,UZH,174
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professors,UZH,0
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1980,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1980,5.1 Humanmedizin,Professors,UZH,85
1980,5.1 Humanmedizin,Other Lecturers,UZH,423
1980,5.1 Humanmedizin,Assistants & Research Staff,UZH,104
1980,5.2 Zahnmedizin,Professors,UZH,7
1980,5.2 Zahnmedizin,Other Lecturers,UZH,52
1980,5.2 Zahnmedizin,Assistants & Research Staff,UZH,63
1980,5.3 Veterinärmedizin,Professors,UZH,12
1980,5.3 Veterinärmedizin,Other Lecturers,UZH,64
1980,5.3 Veterinärmedizin,Assistants & Research Staff,UZH,64
1980,5.4 Pharmazie,Professors,UZH,0
1980,5.4 Pharmazie,Other Lecturers,UZH,0
1980,5.4 Pharmazie,Assistants & Research Staff,UZH,0
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Professors,UZH,0
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Other Lecturers,UZH,0
1980,5.5 Medizin und Pharmazie übergreifend/übrige,Assistants & Research Staff,UZH,0
1980,6.1 Bauwesen und Geodäsie,Professors,UZH,0
1980,6.1 Bauwesen und Geodäsie,Other Lecturers,UZH,0
1980,6.1 Bauwesen und Geodäsie,Assistants & Research Staff,UZH,0
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Professors,UZH,0
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Other Lecturers,UZH,0
1980,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistants & Research Staff,UZH,0
1980,6.3 Agrar- und Forstwissenschaften,Professors,UZH,0
1980,6.3 Agrar- und Forstwissenschaften,Other Lecturers,UZH,0
1980,6.3 Agrar- und Forstwissenschaften,Assistants & Research Staff,UZH,0
1980,6.4 Technische Wissenschaften übergreifend/übrige,Professors,UZH,0
1980,6.4 Technische Wissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1980,6.4 Technische Wissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1980,7 Interdisziplinäre und Andere,Professors,UZH,0
1980,7 Interdisziplinäre und Andere,Other Lecturers,UZH,0
1980,7 Interdisziplinäre und Andere,Assistants & Research Staff,UZH,0
1980,8.5 Zentrale Verwaltung (bis 2001),Professors,UZH,0
